instance_id,kind,base_instance_id,patch_loc,patch_files,test_patch_loc,n_fail_to_pass,difficulty_z
microsoftInternal__NAV-210528,base,microsoftInternal__NAV-210528,13,1,41,1,-1.439
microsoftInternal__NAV-224009,base,microsoftInternal__NAV-224009,2,1,97,1,-0.756
microsoftInternal__NAV-211710,base,microsoftInternal__NAV-211710,2,1,59,1,-1.552
microsoftInternal__NAV-220984,base,microsoftInternal__NAV-220984,2,1,88,1,-0.945
microsoftInternal__NAV-224668,base,microsoftInternal__NAV-224668,2,1,27,1,-2.222
microsoftInternal__NAV-218323,base,microsoftInternal__NAV-218323,24,3,47,1,2.159
microsoftInternal__NAV-193853,base,microsoftInternal__NAV-193853,23,1,66,1,-0.471
microsoftInternal__NAV-223493,base,microsoftInternal__NAV-223493,5,2,50,1,-0.115
microsoftInternal__NAV-193649,base,microsoftInternal__NAV-193649,10,1,71,1,-0.945
microsoftInternal__NAV-220036,base,microsoftInternal__NAV-220036,17,1,54,2,5.177
microsoftInternal__NAV-188438,base,microsoftInternal__NAV-188438,2,1,46,1,-1.824
microsoftInternal__NAV-224447,base,microsoftInternal__NAV-224447,8,1,99,1,-0.448
microsoftInternal__NAV-226875,base,microsoftInternal__NAV-226875,10,1,47,1,-1.447
microsoftInternal__NAV-226223,base,microsoftInternal__NAV-226223,2,1,32,1,-2.117
microsoftInternal__NAV-221877,base,microsoftInternal__NAV-221877,4,1,49,1,-1.672
microsoftInternal__NAV-219082,base,microsoftInternal__NAV-219082,5,1,57,1,-1.46
microsoftInternal__NAV-216918,base,microsoftInternal__NAV-216918,78,4,55,1,6.219
microsoftInternal__NAV-218856,base,microsoftInternal__NAV-218856,30,1,51,1,-0.473
microsoftInternal__NAV-215225,base,microsoftInternal__NAV-215225,16,1,74,1,-0.615
microsoftInternal__NAV-213629,base,microsoftInternal__NAV-213629,1,1,53,1,-1.722
microsoftInternal__NAV-213524,base,microsoftInternal__NAV-213524,16,1,34,1,-1.452
microsoftInternal__NAV-213741,base,microsoftInternal__NAV-213741,21,1,54,1,-0.812
microsoftInternal__NAV-206527,base,microsoftInternal__NAV-206527,19,1,88,1,-0.189
